iter	Passed	Remaining
0	160	159959
1	162	80974
2	164	54612
3	165	41317
4	167	33322
5	169	28066
6	171	24276
7	172	21389
8	174	19186
9	176	17427
10	177	15953
11	178	14711
12	180	13712
13	182	12873
14	184	12085
15	185	11381
16	185	10753
17	186	10196
18	188	9717
19	189	9275
20	190	8878
21	191	8512
22	192	8178
23	193	7869
24	195	7610
25	196	7353
26	197	7107
27	198	6874
28	198	6657
29	199	6455
30	200	6265
31	201	6090
32	202	5933
33	203	5780
34	204	5636
35	205	5500
36	206	5371
37	207	5245
38	208	5127
39	208	5014
40	210	4913
41	211	4817
42	212	4723
43	213	4629
44	213	4538
45	214	4451
46	215	4367
47	216	4287
48	217	4213
49	218	4144
50	219	4078
51	220	4016
52	221	3950
53	221	3887
54	222	3827
55	223	3775
56	225	3723
57	225	3668
58	226	3618
59	227	3565
60	228	3517
61	229	3469
62	230	3422
63	230	3376
64	231	3333
65	232	3295
66	234	3259
67	234	3220
68	235	3181
69	236	3144
70	237	3110
71	238	3078
72	239	3046
73	240	3013
74	241	2980
75	242	2947
76	243	2914
77	243	2883
78	244	2854
79	245	2825
80	246	2797
81	248	2778
82	249	2757
83	250	2733
84	251	2712
85	253	2695
86	255	2684
87	257	2666
88	259	2652
89	260	2631
90	263	2630
91	264	2612
92	265	2591
93	266	2570
94	267	2551
95	270	2545
96	271	2526
97	272	2506
98	273	2487
99	274	2467
100	274	2447
101	275	2428
102	277	2413
103	278	2398
104	279	2380
105	280	2363
106	281	2346
107	282	2330
108	284	2322
109	287	2322
110	288	2307
111	289	2292
112	290	2278
113	291	2268
114	293	2255
115	294	2244
116	295	2231
117	296	2217
118	299	2215
119	300	2204
120	301	2191
121	302	2175
122	303	2160
123	303	2147
124	304	2133
125	305	2119
126	306	2108
127	307	2097
128	309	2088
129	310	2078
130	311	2065
131	312	2053
132	313	2045
133	315	2036
134	316	2026
135	317	2017
136	318	2008
137	319	1996
138	320	1984
139	321	1976
140	322	1967
141	323	1955
142	324	1946
143	326	1941
144	327	1931
145	329	1924
146	330	1919
147	332	1911
148	333	1905
149	334	1895
150	335	1886
151	336	1878
152	337	1870
153	339	1863
154	340	1854
155	341	1845
156	342	1836
157	342	1827
158	344	1819
159	345	1813
160	346	1804
161	347	1796
162	348	1788
163	349	1779
164	350	1771
165	351	1766
166	352	1760
167	354	1753
168	355	1745
169	355	1737
170	356	1729
171	358	1724
172	359	1719
173	361	1714
174	362	1706
175	362	1699
176	363	1691
177	365	1686
178	366	1680
179	367	1675
180	368	1669
181	369	1662
182	371	1657
183	372	1649
184	373	1643
185	374	1639
186	375	1634
187	376	1627
188	377	1621
189	378	1614
190	379	1607
191	380	1600
192	382	1597
193	383	1591
194	383	1584
195	384	1578
196	385	1572
197	386	1567
198	388	1562
199	389	1558
200	390	1553
201	391	1547
202	392	1541
203	393	1535
204	394	1530
205	395	1524
206	396	1520
207	398	1515
208	399	1510
209	399	1504
210	400	1499
211	401	1493
212	403	1489
213	404	1485
214	405	1481
215	407	1478
216	408	1472
217	409	1467
218	409	1462
219	411	1457
220	412	1453
221	413	1448
222	414	1443
223	415	1438
224	415	1432
225	417	1429
226	418	1424
227	419	1419
228	419	1413
229	420	1408
230	421	1404
231	422	1399
232	423	1394
233	424	1388
234	425	1383
235	426	1379
236	427	1374
237	427	1370
238	428	1365
239	429	1360
240	430	1356
241	431	1351
242	432	1347
243	433	1343
244	434	1339
245	435	1335
246	436	1330
247	436	1325
248	437	1320
249	438	1315
250	439	1311
251	440	1306
252	441	1302
253	441	1298
254	442	1293
255	443	1289
256	446	1290
257	447	1286
258	448	1283
259	449	1279
260	450	1274
261	451	1271
262	452	1267
263	452	1262
264	453	1258
265	454	1253
266	455	1249
267	456	1246
268	457	1242
269	458	1239
270	459	1235
271	460	1231
272	461	1227
273	462	1224
274	463	1221
275	464	1217
276	465	1214
277	465	1210
278	466	1206
279	467	1202
280	468	1198
281	468	1194
282	469	1190
283	470	1186
284	471	1182
285	472	1179
286	473	1175
287	474	1172
288	474	1168
289	475	1164
290	476	1161
291	478	1159
292	479	1156
293	480	1153
294	481	1149
295	481	1145
296	482	1142
297	483	1138
298	484	1135
299	484	1131
300	485	1128
301	487	1126
302	488	1123
303	489	1119
304	490	1116
305	491	1114
306	492	1111
307	493	1108
308	493	1104
309	494	1101
310	495	1097
311	496	1094
312	496	1090
313	497	1087
314	498	1084
315	499	1080
316	499	1077
317	501	1074
318	502	1073
319	503	1070
320	504	1067
321	505	1064
322	506	1060
323	506	1057
324	507	1054
325	509	1052
326	510	1050
327	510	1046
328	511	1043
329	512	1040
330	513	1037
331	514	1034
332	514	1031
333	516	1029
334	517	1027
335	518	1024
336	519	1021
337	520	1019
338	521	1015
339	521	1013
340	522	1010
341	523	1007
342	524	1004
343	525	1002
344	527	1000
345	527	997
346	528	994
347	529	991
348	530	989
349	531	987
350	532	984
351	533	982
352	534	980
353	535	977
354	536	975
355	537	973
356	538	970
357	539	967
358	540	965
359	541	962
360	542	959
361	542	956
362	543	953
363	544	951
364	545	948
365	546	946
366	547	944
367	548	942
368	549	939
369	550	936
370	550	933
371	551	931
372	552	928
373	553	926
374	554	924
375	555	921
376	556	918
377	556	916
378	557	913
379	558	911
380	559	908
381	560	906
382	561	904
383	562	902
384	563	899
385	564	897
386	564	894
387	565	892
388	566	889
389	567	887
390	568	885
391	569	883
392	570	880
393	571	878
394	571	875
395	572	873
396	573	871
397	574	868
398	575	866
399	576	864
400	577	862
401	578	860
402	579	858
403	579	855
404	580	853
405	581	851
406	582	849
407	583	847
408	584	844
409	585	842
410	586	840
411	586	837
412	587	835
413	588	833
414	589	830
415	589	828
416	591	826
417	592	824
418	592	822
419	593	819
420	594	817
421	595	815
422	596	813
423	597	811
424	598	809
425	598	806
426	599	804
427	600	802
428	601	800
429	602	798
430	602	795
431	603	793
432	604	791
433	604	789
434	606	787
435	607	785
436	608	783
437	608	781
438	609	779
439	610	777
440	611	774
441	612	772
442	612	770
443	613	768
444	614	766
445	615	764
446	616	762
447	616	760
448	617	757
449	618	755
450	619	753
451	619	751
452	620	749
453	621	747
454	622	745
455	623	743
456	624	741
457	625	739
458	625	737
459	626	735
460	627	734
461	628	732
462	629	730
463	630	728
464	631	726
465	631	724
466	632	721
467	633	719
468	633	717
469	634	715
470	635	713
471	636	712
472	637	710
473	638	708
474	639	706
475	640	704
476	640	702
477	642	701
478	643	699
479	644	698
480	645	696
481	645	694
482	646	692
483	647	690
484	647	688
485	648	686
486	649	684
487	650	682
488	651	680
489	652	678
490	653	677
491	653	675
492	654	673
493	655	671
494	657	670
495	658	668
496	659	666
497	659	665
498	660	663
499	661	661
500	661	659
501	662	657
502	663	655
503	664	653
504	664	651
505	666	650
506	667	648
507	668	647
508	668	645
509	669	643
510	670	641
511	671	640
512	672	638
513	673	636
514	674	635
515	675	633
516	675	631
517	676	629
518	677	627
519	677	625
520	678	623
521	679	622
522	680	620
523	681	618
524	682	617
525	682	615
526	683	613
527	684	611
528	685	610
529	686	608
530	687	607
531	688	605
532	689	604
533	690	602
534	690	600
535	691	598
536	692	597
537	693	595
538	693	593
539	694	591
540	695	590
541	696	588
542	697	586
543	698	585
544	699	583
545	699	582
546	700	580
547	701	578
548	702	577
549	703	575
550	704	574
551	705	572
552	706	570
553	706	569
554	707	567
555	708	565
556	708	563
557	709	562
558	710	560
559	711	559
560	712	557
561	713	556
562	714	554
563	715	552
564	716	551
565	717	550
566	718	548
567	719	546
568	719	545
569	720	543
570	721	541
571	721	540
572	722	538
573	723	536
574	724	535
575	724	533
576	725	532
577	726	530
578	727	529
579	728	527
580	729	526
581	730	524
582	731	523
583	732	521
584	733	520
585	734	518
586	735	517
587	736	515
588	736	514
589	737	512
590	738	510
591	738	509
592	739	507
593	740	506
594	741	504
595	743	503
596	744	502
597	744	500
598	746	499
599	747	498
600	747	496
601	748	494
602	749	493
603	750	491
604	750	490
605	751	488
606	752	487
607	753	485
608	753	483
609	754	482
610	755	480
611	756	479
612	758	478
613	759	477
614	760	476
615	761	474
616	762	473
617	763	471
618	764	470
619	764	468
620	765	467
621	766	465
622	767	464
623	767	462
624	768	461
625	769	459
626	770	458
627	771	456
628	772	455
629	773	454
630	773	452
631	774	451
632	775	449
633	776	448
634	777	447
635	778	445
636	779	444
637	780	442
638	780	441
639	781	439
640	782	438
641	782	436
642	783	435
643	784	433
644	785	432
645	786	431
646	787	429
647	788	428
648	789	426
649	790	425
650	790	423
651	791	422
652	792	421
653	793	419
654	794	418
655	795	417
656	795	415
657	796	414
658	797	412
659	798	411
660	798	409
